permutation,layer,projected_trait,g_1,g_3
21,40,fairness,0.039268663317608504,0.10922755016773736
21,40,compassion,0.0,0.0
21,47,honesty,0.01703229988320269,0.04941364365548422
21,47,harmlessness,0.0,0.0
21,47,fairness,0.032792308270308226,0.09232202049828943
21,47,compassion,0.0,0.0
22,32,honesty,0.0033107103227479257,0.009866798743339678
22,32,harmlessness,0.0,0.0
22,32,fairness,0.0,0.0
22,32,compassion,0.0,0.0
22,40,honesty,0.010308284520223433,0.030300168054046898
22,40,harmlessness,0.010326244648997212,0.03035189182588369
22,40,fairness,0.048819324179719605,0.1334300434465012
22,40,compassion,0.036980976119367875,0.10330247559220945
22,47,honesty,0.02966856637906585,0.08402018241865912
22,47,harmlessness,3.2567147022805173e-05,9.769507776849334e-05
22,47,fairness,0.014998280083167635,0.04368445681239619
22,47,compassion,0.0,0.0
23,32,honesty,0.0,0.0
23,32,harmlessness,0.0,0.0
23,32,fairness,0.0,0.0
23,32,compassion,0.0,0.0
23,40,honesty,0.0,0.0
23,40,harmlessness,0.0,0.0
23,40,fairness,0.0,0.0
23,40,compassion,0.0,0.0
23,47,honesty,0.0,0.0
23,47,harmlessness,0.0,0.0
23,47,fairness,0.015869728561986707,0.046144581713171234
23,47,compassion,0.0,0.0
24,32,honesty,0.0,0.0
24,32,harmlessness,0.01946372573852348,0.0562033250084551
24,32,fairness,0.0,0.0
24,32,compassion,0.06589360016330735,0.17466251644556036
24,40,honesty,0.02224912938361323,0.06390378116055319
24,40,harmlessness,0.0,0.0
24,40,fairness,0.0,0.0
24,40,compassion,0.024949613952001026,0.07129145337636814
24,47,honesty,0.0,0.0
24,47,harmlessness,0.011558682837556232,0.033892542220498256
24,47,fairness,0.015180508500290046,0.04419958126273376
24,47,compassion,0.0477631182752623,0.13079500065371416
25,32,honesty,0.0,0.0
25,32,harmlessness,0.038688164503631314,0.10772883196518751
25,32,fairness,0.009756716826652289,0.028709921334798678
25,32,compassion,0.0,0.0
25,40,honesty,0.0,0.0
25,40,harmlessness,0.060160083220342206,0.16109702839182283
25,40,fairness,0.0,0.0
25,40,compassion,0.0,0.0
25,47,honesty,0.018918458741497342,0.05468621829539223
25,47,harmlessness,0.004311846145606867,0.012824940099747136
25,47,fairness,0.04999186282741025,0.13634346125707475
25,47,compassion,0.0,0.0
26,32,honesty,0.0,0.0
26,32,harmlessness,0.05076191944858832,0.1382500795427454
26,32,fairness,0.0,0.0
26,32,compassion,0.00801851167615201,0.023675844950105662
26,40,honesty,0.036118035318902196,0.10105433768167649
26,40,harmlessness,0.0425022344374599,0.11751721487801427
26,40,fairness,0.0,0.0
26,40,compassion,0.01283627336690771,0.03754494572692996
26,47,honesty,0.002458421444033234,0.0073391787432915
26,47,harmlessness,0.008393809147098072,0.024765670812887743
26,47,fairness,0.011741653084592508,0.03441674040158182
26,47,compassion,0.0,0.0
27,32,honesty,0.0026340991713904214,0.007860884813822295
27,32,harmlessness,0.0,0.0
27,32,fairness,0.04366593782976274,0.12047638482945326
27,32,compassion,0.046754843253196406,0.12827003865664358
27,40,honesty,0.0,0.0
27,40,harmlessness,0.0,0.0
27,40,fairness,0.022466563564124187,0.06450143931947555
27,40,compassion,0.022645837589738798,0.06499383318780516
27,47,honesty,0.039388500234306345,0.10953654059327259
27,47,harmlessness,0.007690701264847272,0.022722598362605997
27,47,fairness,0.029943904853536957,0.08475587108171201
27,47,compassion,0.026198889377029903,0.07468342267326028
28,32,honesty,0.0,0.0
28,32,harmlessness,0.07734471855764712,0.20094940528132074
28,32,fairness,0.04934959235223763,0.13474914618830322
28,32,compassion,0.07245183227340159,0.18984610107457592
28,40,honesty,0.0021580616889826554,0.006446361774191556
28,40,harmlessness,0.00354078802682923,0.01054766995352293
28,40,fairness,0.032524959843498166,0.09161531091347383
28,40,compassion,0.025806487305624227,0.07361972872718928
28,47,honesty,0.01622237348728702,0.04713774815017736
28,47,harmlessness,0.06802843456970648,0.17964356297032766
28,47,fairness,0.06548822581826816,0.1737124386370006
28,47,compassion,0.0,0.0
29,32,honesty,0.052844574895896154,0.14338001301499728
29,32,harmlessness,0.0,0.0
29,32,fairness,0.03556690515883702,0.09961473949259995
29,32,compassion,0.0,0.0
29,40,honesty,0.0,0.0
29,40,harmlessness,0.0,0.0
29,40,fairness,0.0,0.0
29,40,compassion,0.004691892256672647,0.013944821569334258
29,47,honesty,0.007707719993786368,0.022772117766539084
29,47,harmlessness,0.0,0.0
29,47,fairness,0.00943302000183164,0.02777505471219079
29,47,compassion,0.0,0.0
30,32,honesty,0.0,0.0
30,32,harmlessness,0.0,0.0
30,32,fairness,0.0,0.0
30,32,compassion,0.0,0.0
30,40,honesty,0.0,0.0
30,40,harmlessness,0.015501475799064485,0.045106008013952086
30,40,fairness,0.007212080383273174,0.021328594079886826
30,40,compassion,0.013395255543516494,0.039137259447407625
30,47,honesty,0.0,0.0
30,47,harmlessness,0.019583764027536317,0.05653688216429268
30,47,fairness,0.0,0.0
30,47,compassion,0.0,0.0
31,32,honesty,0.02497310733933955,0.07135539037201695
31,32,harmlessness,0.040643565376042835,0.11276440148077968
31,32,fairness,0.02468886925795524,0.0705814551379896
31,32,compassion,0.05571754115265445,0.1503935102635593
31,40,honesty,0.0,0.0
31,40,harmlessness,0.0,0.0
31,40,fairness,0.0,0.0
31,40,compassion,0.00641898696949032,0.019012874125937062
31,47,honesty,0.0,0.0
31,47,harmlessness,0.0,0.0
31,47,fairness,0.0,0.0
31,47,compassion,0.01242826458840252,0.0363805007859547
32,32,honesty,0.0,0.0
32,32,harmlessness,0.0,0.0
32,32,fairness,0.01485869796184536,0.043289638557140075
32,32,compassion,0.04658468460061583,0.12784300195308657
32,40,honesty,0.0,0.0
32,40,harmlessness,0.0,0.0
32,40,fairness,0.009956476957836859,0.029286255026799258
32,40,compassion,0.0,0.0
32,47,honesty,0.027243780387264136,0.07750811313673553
32,47,harmlessness,0.0,0.0
32,47,fairness,0.0,0.0
32,47,compassion,0.0,0.0
33,32,honesty,0.0,0.0
33,32,harmlessness,0.0,0.0
33,32,fairness,0.008305492004017192,0.024509351565155487
33,32,compassion,0.01003742763780318,0.029519679617309783
33,40,honesty,0.0,0.0
33,40,harmlessness,0.0,0.0
33,40,fairness,0.0,0.0
33,40,compassion,0.01878982539671373,0.05432785439367086
33,47,honesty,0.0,0.0
33,47,harmlessness,0.0,0.0
33,47,fairness,0.0,0.0
33,47,compassion,0.03576108040445256,0.10012227944251594
34,32,honesty,0.0,0.0
34,32,harmlessness,0.029999636191468813,0.0849046890117989
34,32,fairness,0.0,0.0
34,32,compassion,0.0,0.0
34,40,honesty,0.0,0.0
34,40,harmlessness,0.0,0.0
34,40,fairness,0.0,0.0
34,40,compassion,0.026052767997240926,0.07428751329384956
34,47,honesty,0.0,0.0
34,47,harmlessness,0.0,0.0
34,47,fairness,0.005467349393956635,0.01622463666697322
34,47,compassion,0.0,0.0
35,32,honesty,0.012278414388825971,0.03595236704480728
35,32,harmlessness,0.0,0.0
35,32,fairness,0.0,0.0
35,32,compassion,0.0,0.0
35,40,honesty,0.010676689449865506,0.031360417472845105
35,40,harmlessness,0.0,0.0
35,40,fairness,0.05500413009292344,0.14865870480201882
35,40,compassion,0.0,0.0
35,47,honesty,0.0,0.0
35,47,harmlessness,0.0,0.0
35,47,fairness,0.012434117843246034,0.03639721891151373
35,47,compassion,0.0,0.0
36,32,honesty,0.01784544450369915,0.05169142075045813
36,32,harmlessness,0.009426607151194234,0.027756521799802116
36,32,fairness,0.0,0.0
36,32,compassion,0.0,0.0
36,40,honesty,0.02571738460228561,0.07337797461769671
36,40,harmlessness,0.05166191769786991,0.140471680318607
36,40,fairness,0.0,0.0
36,40,compassion,0.0,0.0
36,47,honesty,0.0,0.0
36,47,harmlessness,0.0248288011615745,0.07096257229011334
36,47,fairness,0.0,0.0
36,47,compassion,0.0,0.0
37,32,honesty,0.0,0.0
37,32,harmlessness,0.0,0.0
37,32,fairness,0.0,0.0
37,32,compassion,0.003535358467384123,0.010531609373405465
37,40,honesty,0.026941589465794884,0.07669234125107066
37,40,harmlessness,0.0,0.0
37,40,fairness,0.0,0.0
37,40,compassion,0.03901143872234527,0.10856385204407726
37,47,honesty,0.03623222685938534,0.10135224547652862
37,47,harmlessness,0.0,0.0
37,47,fairness,0.0008174205893240338,0.0024482592529294065
37,47,compassion,0.0,0.0
38,32,honesty,0.003096283753446944,0.009231683437452136
38,32,harmlessness,0.0,0.0
38,32,fairness,0.012474112809287086,0.03651144271729065
38,32,compassion,0.0,0.0
38,40,honesty,0.0,0.0
38,40,harmlessness,0.0,0.0
38,40,fairness,0.06305358960551584,0.16797758890861214
38,40,compassion,0.009102041111512157,0.026817927575893786
38,47,honesty,0.0018554004034421004,0.005545622509842105
38,47,harmlessness,0.0016739530640677372,0.005005102578608342
38,47,fairness,0.0013709094884026792,0.004101482941446137
38,47,compassion,0.0,0.0
39,32,honesty,0.0,0.0
39,32,harmlessness,0.019488753751816124,0.056272884478438985
39,32,fairness,0.0,0.0
39,32,compassion,0.05967623708831435,0.1599395323592175
39,40,honesty,0.0,0.0
39,40,harmlessness,0.014880469459136847,0.04335123492284016
39,40,fairness,0.043509389769875416,0.12007903797659551
39,40,compassion,0.0,0.0
39,47,honesty,0.0,0.0
39,47,harmlessness,0.044587772653883306,0.12281153257425792
39,47,fairness,0.015853192004103053,0.04609797588683998
39,47,compassion,0.10555437345410745,0.2614654721722698
40,32,honesty,0.013927910338282647,0.040651354182481204
40,32,harmlessness,0.013084218592122207,0.03825166936928402
40,32,fairness,0.0,0.0
40,32,compassion,0.0,0.0
40,40,honesty,0.0,0.0
40,40,harmlessness,0.0,0.0
40,40,fairness,0.020511027776970937,0.059108337813429154
40,40,compassion,0.0,0.0
40,47,honesty,0.048623954610998,0.13294339648040387
40,47,harmlessness,0.03871951447815079,0.10780985309857706
40,47,fairness,0.0,0.0
40,47,compassion,0.0,0.0
41,32,honesty,0.0,0.0
41,32,harmlessness,0.025256836421161707,0.07212710431314669
41,32,fairness,0.0,0.0
41,32,compassion,0.022362050243457582,0.06421422718122982
41,40,honesty,0.0,0.0
41,40,harmlessness,0.0,0.0
41,40,fairness,0.0,0.0
41,40,compassion,0.0,0.0
41,47,honesty,0.05139485892665804,0.13981321577798975
41,47,harmlessness,0.042291840291499655,0.11698085002191735
41,47,fairness,0.0030831664950832388,0.009192813535871026
41,47,compassion,0.0,0.0
42,32,honesty,0.0,0.0
42,32,harmlessness,0.0,0.0
42,32,fairness,0.0,0.0
42,32,compassion,0.02761847484568088,0.07851831246174272
42,40,honesty,0.021240294784523134,0.06112428853942607
42,40,harmlessness,0.02372024537027948,0.06793773654914423
42,40,fairness,0.0,0.0
42,40,compassion,0.0003804646586720047,0.0011405261162569578
42,47,honesty,0.0,0.0
42,47,harmlessness,0.005107699487828301,0.015168149761944132
42,47,fairness,0.0,0.0
42,47,compassion,0.0,0.0
43,32,honesty,0.0,0.0
43,32,harmlessness,0.0,0.0
43,32,fairness,0.0,0.0
43,32,compassion,0.0037767390279310376,0.011245276137258224
43,40,honesty,0.0,0.0
43,40,harmlessness,0.0,0.0
43,40,fairness,0.0,0.0
43,40,compassion,0.0,0.0
43,47,honesty,0.0,0.0
43,47,harmlessness,0.0,0.0
43,47,fairness,0.0,0.0
43,47,compassion,0.08761285879454929,0.2236494423580558
44,32,honesty,0.0,0.0
44,32,harmlessness,0.010277876826482462,0.03021258796404005
44,32,fairness,0.0,0.0
44,32,compassion,0.0,0.0
44,40,honesty,0.017466752632334086,0.05063152137837272
44,40,harmlessness,0.0,0.0
44,40,fairness,0.0,0.0
44,40,compassion,0.003690105002474508,0.010989212312766335
44,47,honesty,0.029517955246174687,0.08361743436759861
44,47,harmlessness,0.002907228708742152,0.008671267411108945
44,47,fairness,0.011438353690708983,0.033547602388927296
44,47,compassion,0.014109063445415182,0.04116557491962945
45,32,honesty,0.0,0.0
45,32,harmlessness,0.034493858436029756,0.09680333428983108
45,32,fairness,0.0,0.0
45,32,compassion,0.02381549203994921,0.06819813198117354
45,40,honesty,0.0,0.0
45,40,harmlessness,0.002513476637612181,0.007502714119520349
45,40,fairness,0.029674799263757292,0.08403684479138417
45,40,compassion,0.0574127889927925,0.1544980402132508
45,47,honesty,0.009981582087982685,0.02935865462174862
45,47,harmlessness,0.0,0.0
45,47,fairness,0.0,0.0
45,47,compassion,0.0,0.0
46,32,honesty,0.0,0.0
46,32,harmlessness,0.0,0.0
46,32,fairness,0.032082947677693326,0.09044533700352887
46,32,compassion,0.02141907802236827,0.06161764766147305
46,40,honesty,0.00024354156281197056,0.0007302689867353064
46,40,harmlessness,0.052399418856616836,0.1422867685987316
46,40,fairness,0.0,0.0
46,40,compassion,0.016164022079586608,0.04697350470436594
46,47,honesty,0.0,0.0
46,47,harmlessness,0.008772966358994225,0.025865072259373793
46,47,fairness,0.06711027272888813,0.1775058818965463
46,47,compassion,0.0,0.0
47,32,honesty,0.0,0.0
47,32,harmlessness,0.08044255566986168,0.20788247230691073
47,32,fairness,0.012233606189611113,0.03582429786464261
47,32,compassion,0.012745912197949268,0.037287217395782814
47,40,honesty,0.0,0.0
47,40,harmlessness,0.0,0.0
47,40,fairness,0.004675962959557255,0.013897916592270819
47,40,compassion,0.05758345590892796,0.15490987572898846
47,47,honesty,0.058910983473489296,0.15810473907858963
47,47,harmlessness,0.029887957184797507,0.08460644400257845
47,47,fairness,0.007399902436493804,0.021875947554266556
47,47,compassion,0.0,0.0
48,32,honesty,0.022752831805296834,0.0652875424702758
48,32,harmlessness,0.04986201191734704,0.1360214312954995
48,32,fairness,0.04523788826192952,0.1244536263046639
48,32,compassion,0.00866455666290475,0.025550895622889275
48,40,honesty,0.0,0.0
48,40,harmlessness,0.037165099011536126,0.10378121851156781
48,40,fairness,0.0,0.0
48,40,compassion,0.020353456098886648,0.058672011861353124
48,47,honesty,0.0,0.0
48,47,harmlessness,0.008955385837571633,0.026393430799933594
48,47,fairness,0.013853962473885487,0.040441341759399854
48,47,compassion,0.0,0.0
49,32,honesty,0.0,0.0
49,32,harmlessness,0.0,0.0
49,32,fairness,0.0,0.0
49,32,compassion,0.0,0.0
49,40,honesty,0.0,0.0
49,40,harmlessness,0.0,0.0
49,40,fairness,0.0,0.0
49,40,compassion,0.002551371276261212,0.0076152551423206
49,47,honesty,0.07918493191116623,0.20507680936175857
49,47,harmlessness,0.03938396089820602,0.10952483876037611
49,47,fairness,0.014776378383537654,0.04305669122756954
49,47,compassion,0.05263895050159883,0.1428752455481688
50,32,honesty,0.0,0.0
50,32,harmlessness,0.07036569959293326,0.18505416694013907
50,32,fairness,0.00040010057276367153,0.0011993420034459778
50,32,compassion,0.02404355493559399,0.0688212498058935
50,40,honesty,0.0,0.0
50,40,harmlessness,0.0043950466481780135,0.013070251216930411
50,40,fairness,0.0,0.0
50,40,compassion,0.0,0.0
50,47,honesty,0.0,0.0
50,47,harmlessness,0.0,0.0
50,47,fairness,0.016034448863014476,0.04660865829309474
50,47,compassion,0.020862655718784255,0.06008106596736343
51,32,honesty,0.0,0.0
51,32,harmlessness,0.04648937719188578,0.1276036986229347
51,32,fairness,0.04659933405602685,0.12787977724992175
51,32,compassion,0.03858796227902337,0.1074698052544822
51,40,honesty,0.0,0.0
51,40,harmlessness,0.04081486902857137,0.11320380974884527
51,40,fairness,0.0031980498381279344,0.009533174380812994
51,40,compassion,0.005598549461092035,0.016609668284430668
51,47,honesty,0.027476052501832358,0.07813450213951727
51,47,harmlessness,0.0,0.0
51,47,fairness,0.02011668380091413,0.058015877285184994
51,47,compassion,0.018619739032706896,0.05385373221843174
52,32,honesty,0.0,0.0
52,32,harmlessness,0.049811030806629214,0.13589495667325366
52,32,fairness,0.008492868875750922,0.02505306188814853
52,32,compassion,0.0,0.0
52,40,honesty,0.0,0.0
52,40,harmlessness,0.02147979631866904,0.0617851251485773
52,40,fairness,0.0,0.0
52,40,compassion,0.0,0.0
52,47,honesty,0.015465249771236093,0.045003760519548845
52,47,harmlessness,0.002526323920158873,0.007540870397946322
52,47,fairness,0.017364878175796294,0.05034612584359424
52,47,compassion,0.026626482337566912,0.07584070464718683
53,32,honesty,0.0,0.0
53,32,harmlessness,0.0,0.0
53,32,fairness,0.0,0.0
53,32,compassion,0.0,0.0
53,40,honesty,0.0,0.0
53,40,harmlessness,0.0,0.0
53,40,fairness,0.0,0.0
53,40,compassion,0.024362111280404292,0.06969070826146107
53,47,honesty,0.029723834294790485,0.08416791647961572
53,47,harmlessness,0.0,0.0
53,47,fairness,0.0,0.0
53,47,compassion,0.04039995822210799,0.11213904888618627
54,32,honesty,0.0,0.0
54,32,harmlessness,0.0,0.0
