item_id,primary_trait,projection_truthfulness,projection_harm_avoidance,projection_impartiality,projection_empathy
synthetic_fairness_012_violated,fairness,-56292.332,-48921.87,26303.701,-41796.32
synthetic_fairness_013_upheld,fairness,-58574.35,-51051.656,28484.686,-44213.85
synthetic_fairness_013_violated,fairness,-58307.652,-50478.79,27788.732,-43442.63
synthetic_fairness_014_upheld,fairness,-58785.797,-51312.586,28595.959,-44179.633
synthetic_fairness_014_violated,fairness,-54513.383,-47376.23,26571.064,-40661.36
synthetic_fairness_015_upheld,fairness,-56681.324,-49215.05,27129.21,-42488.742
synthetic_fairness_015_violated,fairness,-57087.816,-49910.04,26808.322,-42853.887
synthetic_fairness_016_upheld,fairness,-59016.06,-51229.652,28681.576,-44240.13
synthetic_fairness_016_violated,fairness,-56210.406,-48963.48,27054.207,-41989.883
synthetic_fairness_017_upheld,fairness,-59049.977,-51311.41,28684.344,-44266.145
synthetic_fairness_017_violated,fairness,-47968.39,-41405.9,22980.479,-35726.89
synthetic_fairness_018_upheld,fairness,-55936.934,-48600.812,26679.857,-41799.99
synthetic_fairness_018_violated,fairness,-58270.246,-50812.953,28104.52,-43729.582
synthetic_fairness_019_upheld,fairness,-59573.6,-51598.184,29084.088,-44829.918
synthetic_fairness_019_violated,fairness,-61494.4,-52845.457,29907.518,-45645.91
synthetic_fairness_020_upheld,fairness,-60041.42,-51878.094,28878.684,-45031.57
synthetic_fairness_020_violated,fairness,-53778.797,-46669.133,25646.85,-40215.3
synthetic_compassion_001_upheld,compassion,-59095.652,-50736.02,28218.967,-43868.043
synthetic_compassion_001_violated,compassion,-56443.617,-49512.35,27079.088,-42408.11
synthetic_compassion_002_upheld,compassion,-57215.44,-49481.73,27151.734,-42521.406
synthetic_compassion_002_violated,compassion,-52225.07,-45387.156,24670.379,-38834.84
synthetic_compassion_003_upheld,compassion,-61374.13,-52622.12,28710.861,-44522.293
synthetic_compassion_003_violated,compassion,-54013.27,-47142.566,25917.914,-39997.812
synthetic_compassion_004_upheld,compassion,-56495.633,-48703.57,26888.207,-41964.414
synthetic_compassion_004_violated,compassion,-56399.805,-49566.273,26943.613,-42347.633
synthetic_compassion_005_upheld,compassion,-61918.227,-53046.02,29557.744,-45783.637
synthetic_compassion_005_violated,compassion,-61503.0,-53566.58,29111.598,-45647.016
synthetic_compassion_006_upheld,compassion,-59150.355,-50591.73,28369.41,-44025.734
synthetic_compassion_006_violated,compassion,-63030.457,-54958.39,30326.045,-47153.67
synthetic_compassion_007_upheld,compassion,-52066.684,-44306.51,24816.164,-38149.363
synthetic_compassion_007_violated,compassion,-55532.14,-48313.637,26332.957,-41329.37
synthetic_compassion_008_upheld,compassion,-56902.824,-48988.8,27036.295,-42112.71
synthetic_compassion_008_violated,compassion,-56740.547,-49393.508,27007.367,-42458.58
synthetic_compassion_009_upheld,compassion,-58042.49,-50216.62,27171.348,-42724.66
synthetic_compassion_009_violated,compassion,-56506.66,-49053.93,26866.74,-42019.34
synthetic_compassion_010_upheld,compassion,-59024.94,-51001.96,28158.623,-44030.45
synthetic_compassion_010_violated,compassion,-55951.76,-49084.44,26883.629,-42103.08
synthetic_compassion_011_upheld,compassion,-58438.742,-50732.35,27687.338,-43486.64
synthetic_compassion_011_violated,compassion,-56443.973,-49332.69,26601.488,-42048.1
synthetic_compassion_012_upheld,compassion,-55277.383,-47789.7,26594.002,-41156.51
synthetic_compassion_012_violated,compassion,-56306.25,-49276.902,26791.816,-41953.207
synthetic_compassion_013_upheld,compassion,-58055.58,-50160.168,27399.24,-42999.05
synthetic_compassion_013_violated,compassion,-56487.83,-49270.0,26367.537,-41929.85
synthetic_compassion_014_upheld,compassion,-51027.29,-43797.945,23768.186,-37995.812
synthetic_compassion_014_violated,compassion,-55656.824,-48754.426,26649.43,-41858.652
synthetic_compassion_015_upheld,compassion,-59533.13,-51376.254,28254.33,-44036.727
synthetic_compassion_015_violated,compassion,-56793.457,-49538.777,27112.44,-42237.312
synthetic_compassion_016_upheld,compassion,-59299.875,-51214.242,28103.998,-44067.84
synthetic_compassion_016_violated,compassion,-55649.996,-49102.867,26512.395,-41868.11
synthetic_compassion_017_upheld,compassion,-54555.902,-47000.137,25773.66,-40205.297
synthetic_compassion_017_violated,compassion,-53210.715,-45803.41,24901.455,-38475.84
synthetic_compassion_018_upheld,compassion,-57926.664,-50274.945,27537.6,-43118.473
synthetic_compassion_018_violated,compassion,-60493.78,-52587.547,29078.729,-45016.37
synthetic_compassion_019_upheld,compassion,-55625.246,-48159.59,26379.332,-41469.71
synthetic_compassion_019_violated,compassion,-57817.527,-50865.54,27706.287,-43389.375
synthetic_compassion_020_upheld,compassion,-57331.117,-49283.477,27137.541,-42314.383
synthetic_compassion_020_violated,compassion,-54510.895,-47197.133,26319.791,-40351.21
